time,speed_ms,dir_from_deg,u,v
2019-05-12 09:36:00,3.3,345.0,0.8541028488383186,-3.187555226753925
2019-05-12 09:42:00,3.2,351.0,0.5005902881287371,-3.160602689904441
2019-05-12 09:48:00,3.5,354.0,0.3658496214367905,-3.4808266337889564
2019-05-12 09:54:00,3.8,348.0,0.7900644251074846,-3.7169608827884613
2019-05-12 10:00:00,3.4,351.0,0.5318771811367832,-3.3581403580234683
2019-05-12 10:06:00,3.4,352.0,0.4731885432642244,-3.366911433721339
2019-05-12 10:12:00,3.4,357.0,0.17794225122601126,-3.395340418165551
2019-05-12 10:18:00,3.6,2.0,-0.12563818812900324,-3.597806977268745
2019-05-12 10:24:00,4.4,1.0,-0.076790588324048,-4.399329858688122
2019-05-12 10:30:00,3.4,346.0,0.8225344450388682,-3.2990054693383883
2019-05-12 10:36:00,2.7,343.0,0.7894036027513883,-2.582022841100196
2019-05-12 10:42:00,3.4,345.0,0.8799847533485706,-3.2841478093828322
2019-05-12 10:48:00,3.1,354.0,0.32403823612972876,-3.083017875641647
2019-05-12 10:54:00,3.5,354.0,0.3658496214367905,-3.4808266337889564
2019-05-12 11:00:00,4.1,358.0,0.14308793648025384,-4.097502390778292
2019-05-12 11:06:00,3.9,357.0,0.20411022934748352,-3.8946551855428377
2019-05-12 11:12:00,4.0,3.0,-0.20934382497177426,-3.9945181390182953
2019-05-12 11:18:00,3.8,7.0,-0.46310350493955976,-3.771675376237024
2019-05-12 11:24:00,2.9,351.0,0.453659948616668,-2.8642961877258997
2019-05-12 11:30:00,3.4,357.0,0.17794225122601126,-3.395340418165551
2019-05-12 11:36:00,3.1,1.0,-0.054102459955579274,-3.099527854984813
2019-05-12 11:42:00,2.8,357.0,0.14654067748024457,-2.7961626973128064
2019-05-12 11:48:00,3.1,360.0,1.1389215232070384e-15,-3.1
2019-05-12 11:54:00,2.1,344.0,0.5788384472156998,-2.018649561470469
2019-05-12 12:00:00,2.5,346.0,0.6048047389991678,-2.4257393156899916
2019-05-12 12:06:00,3.0,338.0,1.123819780247735,-2.7815515637003627
2019-05-12 12:12:00,1.9,339.0,0.6808991041360717,-1.7738028103446828
