time,speed_ms,dir_to_deg,u,v
2019-05-10 10:13:00,0.6890000000000001,131,0.5199949007734901,-0.4520246709744595
2019-05-10 10:19:00,0.6859999999999999,130,0.5255064879796189,-0.44095230024496596
2019-05-10 10:25:00,0.635,130,0.48643822138055104,-0.4081701321509525
2019-05-10 10:31:00,0.649,129,0.5043677289855742,-0.40842893379134443
2019-05-10 10:37:00,0.608,130,0.4657550214163386,-0.3908148666894159
2019-05-10 10:43:00,0.608,130,0.4657550214163386,-0.3908148666894159
2019-05-10 10:49:00,0.593,127,0.4735908574580446,-0.35687630872916465
2019-05-10 10:55:00,0.578,125,0.47346988159903713,-0.33152718021090466
2019-05-10 11:01:00,0.645,130,0.49409866581174083,-0.4145980082478179
2019-05-10 11:07:00,0.6579999999999999,130,0.5040572435722874,-0.42295424717374286
2019-05-10 11:13:00,0.642,129,0.4989277072553754,-0.40402369105399555
2019-05-10 11:19:00,0.669,128,0.527179194162897,-0.4118775269928654
2019-05-10 11:25:00,0.78,128,0.6146483878132432,-0.48021595075401347
2019-05-10 11:31:00,0.841,130,0.6442433766630605,-0.5405843797463796
2019-05-10 11:37:00,0.89,133,0.6509047944410619,-0.6069785404556236
2019-05-10 11:43:00,0.8340000000000001,131,0.629427789905792,-0.547153230178083
2019-05-10 11:49:00,0.8590000000000001,132,0.6383614050850818,-0.5747831908622593
2019-05-10 11:55:00,0.823,131,0.6211259845233414,-0.5399365808591874
2019-05-10 12:01:00,1.034,141,0.6507172843455319,-0.8035689241465079
2019-05-10 12:07:00,0.623,141,0.3920666036240487,-0.48416193398769286
2019-05-10 12:13:00,0.925,126,0.7483407197968265,-0.5437013583705376
2019-05-10 12:19:00,0.986,132,0.7327407979207107,-0.6597627778698342
2019-05-10 12:25:00,0.9690000000000001,132,0.7201073358875951,-0.6483875575617337
2019-05-10 12:31:00,1.0759999999999998,132,0.7996238322136761,-0.7199845324421313
2019-05-10 12:37:00,0.972,132,0.7223367703640272,-0.6503949493808102
2019-05-10 12:43:00,1.068,135,0.7551900423072329,-0.7551900423072327
2019-05-10 12:49:00,1.126,136,0.7821853251368307,-0.8099766151813212
2019-05-10 12:55:00,1.089,135,0.7700392847121503,-0.7700392847121502
2019-05-10 13:01:00,1.192,136,0.8280327775871246,-0.8574530420036723
2019-05-10 13:07:00,1.0170000000000001,132,0.75577828751051,-0.6805058266669589
2019-05-10 13:13:00,1.131,131,0.8535765352319553,-0.7420027617882636
2019-05-10 13:19:00,1.129,133,0.8256983291280435,-0.7699761485105606
2019-05-10 13:25:00,1.167,131,0.8807460801199751,-0.7656208868319219
2019-05-10 13:31:00,1.123,138,0.7514336709409979,-0.8345516390111136
2019-05-10 13:37:00,1.242,128,0.9787093559795488,-0.7646515523544676
2019-05-10 13:43:00,1.153,132,0.8568459837754355,-0.7715075891317635
2019-05-10 13:49:00,1.17,133,0.8556838308944296,-0.797938081273123
2019-05-10 13:55:00,1.0759999999999998,134,0.7740096251643884,-0.747452406613881
2019-05-10 14:01:00,1.067,132,0.7929355287843797,-0.7139623569849017
2019-05-10 14:07:00,1.099,133,0.8037577180794684,-0.7495161977086857
2019-05-10 14:13:00,1.1440000000000001,129,0.889054979906775,-0.7199425273610139
2019-05-10 14:19:00,1.067,133,0.780354399627655,-0.7276922501866857
2019-05-10 14:25:00,1.083,140,0.6961389812905222,-0.8296261318978531
2019-05-10 14:31:00,0.632,140,0.40624176932189293,-0.484140088051194
2019-05-10 14:37:00,0.945,124,0.7834405060645144,-0.5284372937798556
2019-05-10 14:43:00,0.659,132,0.4897324399896028,-0.4409570695904876
2019-05-10 14:49:00,0.924,130,0.7078250654419357,-0.5939357513503624
2019-05-10 14:55:00,0.8270000000000001,132,0.6145807706698051,-0.5533710114587758
2019-05-10 15:01:00,0.669,129,0.5199106482147137,-0.42101534161234117
2019-05-10 15:07:00,0.6729999999999999,128,0.5303312371773239,-0.41434017289416797
2019-05-10 15:13:00,0.7559999999999999,132,0.5618174880609099,-0.5058627384072968
2019-05-10 15:19:00,0.6729999999999999,135,0.4758828637385465,-0.4758828637385464
2019-05-10 15:25:00,0.63,138,0.42155228200608075,-0.4681812400507583
2019-05-10 15:31:00,0.513,134,0.369021317573728,-0.35635974404546567
2019-05-10 15:37:00,0.5329999999999999,134,0.383408113580501,-0.37025291145464556
2019-05-10 15:43:00,0.451,132,0.3351583162903048,-0.30177790346784505
2019-05-10 15:49:00,0.40299999999999997,131,0.30414796082977713,-0.26439178868317437
2019-05-10 15:55:00,0.418,131,0.31546860453311876,-0.274232674118032
2019-05-10 16:01:00,0.363,128,0.2860479035592401,-0.22348511554321396
2019-05-10 16:07:00,0.45,136,0.3125962667065487,-0.3237029101523931
2019-05-10 16:13:00,0.341,131,0.2573559668559653,-0.22371612888576295
2019-05-10 16:19:00,0.34,132,0.25266924066231405,-0.2275044061620118
2019-05-10 16:25:00,0.36700000000000005,131,0.2769784159417574,-0.24077366363951616
2019-05-10 16:31:00,0.341,135,0.24112341238461274,-0.2411234123846127
2019-05-10 16:37:00,0.32299999999999995,131,0.24377119441195536,-0.21190706636393378
2019-05-10 16:43:00,0.325,128,0.25610349492218465,-0.20008997948083895
2019-05-10 16:49:00,0.368,131,0.27773312552198015,-0.24142972266850662
2019-05-10 16:55:00,0.21,133,0.1535842773400258,-0.14321965561312466
2019-05-10 17:01:00,0.452,138,0.302447034074204,-0.3359014611157822
2019-05-10 17:07:00,0.312,134,0.22443401770565913,-0.21673341158320716
2019-05-10 17:13:00,0.166,139,0.10890579881242421,-0.12528179031698017
2019-05-10 17:19:00,0.215,128,0.16942231202544522,-0.13236721719501654
2019-05-10 17:25:00,0.17800000000000002,139,0.11677850716031031,-0.13433830527965343
2019-05-10 17:31:00,0.182,137,0.12412370153137472,-0.13310637369468903
2019-05-10 17:37:00,0.134,124,0.1110910347223756,-0.07493184906508006
2019-05-10 17:43:00,0.054000000000000006,122,0.045794597192447016,-0.028615640268593062
2019-05-10 17:49:00,0.011000000000000001,225,-0.007778174593052023,-0.007778174593052026
2019-05-10 17:55:00,0.08,136,0.05557266963671977,-0.05754718402709211
2019-05-10 18:01:00,0.073,140,0.04692349550711738,-0.05592124434768538
2019-05-10 18:07:00,0.028999999999999998,133,0.021209257346955945,-0.019777952441812453
2019-05-10 18:13:00,0.027999999999999997,140,0.017998053071223104,-0.02144924440733138
2019-05-10 18:19:00,0.021,182,-0.000732889430752519,-0.020987207367401013
2019-05-10 18:25:00,0.114,149,0.0587143405397462,-0.0977170722800408
2019-05-10 18:31:00,0.11599999999999999,133,0.08483702938782378,-0.07911180976724981
2019-05-10 18:37:00,0.096,152,0.045069270027445506,-0.08476296891445699
2019-05-10 18:43:00,0.131,130,0.10035182204858613,-0.08420517686893667
2019-05-10 18:49:00,0.159,129,0.1235662078716584,-0.10006194217692413
2019-05-10 18:55:00,0.306,133,0.2237942326954662,-0.2086914981791245
2019-05-10 19:01:00,0.308,126,0.2491772342674838,-0.1810378577060817
2019-05-10 19:07:00,0.249,132,0.18504306154387118,-0.1666135209833557
2019-05-10 19:13:00,0.265,137,0.1807295654165621,-0.1938087309290802
2019-05-10 19:19:00,0.317,136,0.2202067034355021,-0.22803071670735248
2019-05-10 19:25:00,0.285,134,0.20501184309651554,-0.19797763558081424
2019-05-10 19:31:00,0.48100000000000004,126,0.38913717429434974,-0.28272470635267954
2019-05-10 19:37:00,0.237,135,0.16758430714121178,-0.16758430714121175
2019-05-10 19:43:00,0.33799999999999997,126,0.27344774409873224,-0.19867141527485585
2019-05-10 20:01:00,0.32799999999999996,123,0.27508394628609906,-0.17864160348492886
2019-05-10 20:07:00,0.326,126,0.26373954016623286,-0.1916179922473462
2019-05-10 20:13:00,0.26899999999999996,129,0.20905226363192517,-0.1692871851924062
2019-05-10 20:19:00,0.292,132,0.2169982890393991,-0.1953861370567866
2019-05-10 20:25:00,0.257,133,0.18795790131612683,-0.1752735785360621
2019-05-10 20:31:00,0.281,132,0.2088236959591478,-0.1880257003868392
2019-05-10 20:37:00,0.252,131,0.1901868142161386,-0.1653268753056078
2019-05-10 20:43:00,0.27,132,0.20064910287889645,-0.18066526371689173
2019-05-10 21:01:00,0.187,137,0.1275336933316872,-0.13676314220278488
2019-05-10 21:07:00,0.29600000000000004,139,0.19419347258119019,-0.22339403574594055
2019-05-10 21:19:00,0.387,129,0.3007554870838478,-0.24354699133628704
2019-05-10 21:25:00,0.382,126,0.30904449185122995,-0.2245339663757247
2019-05-10 21:31:00,0.256,124,0.21223361857409068,-0.14315338328851115
2019-05-10 21:37:00,0.34299999999999997,124,0.2843598873863793,-0.1918031658904661
2019-05-10 21:43:00,0.254,106,0.244160470768333,-0.07001188837751776
2019-05-10 21:49:00,0.226,114,0.2064612734272278,-0.09192248133513087
2019-05-10 21:55:00,0.311,126,0.2516042852506087,-0.1828012134629591
2019-05-10 22:01:00,0.245,113,0.22552368909584786,-0.09572912647987208
2019-05-10 22:07:00,0.237,112,0.21974257353232862,-0.08878176263957116
2019-05-10 22:19:00,0.254,122,0.21540421642373223,-0.13459949311523403
2019-05-10 22:25:00,0.257,118,0.2269175313647442,-0.12065419163597396
2019-05-10 22:31:00,0.28300000000000003,120,0.24508518927099618,-0.14149999999999996
2019-05-10 22:37:00,0.344,122,0.29172854507781054,-0.18229222689622243
2019-05-10 22:43:00,0.32799999999999996,123,0.27508394628609906,-0.17864160348492886
2019-05-10 22:49:00,0.29,117,0.25839189201462665,-0.13165724492446854
2019-05-10 22:55:00,0.374,124,0.31006005213558563,-0.20913814589805926
2019-05-10 23:01:00,0.34700000000000003,124,0.2876760376765995,-0.1940399375043491
2019-05-10 23:07:00,0.379,127,0.30268285830792396,-0.22808789377462635
2019-05-10 23:13:00,0.354,124,0.29347930068448475,-0.19795428782864433
2019-05-10 23:19:00,0.392,127,0.31306511993853875,-0.23591148907560297
2019-05-10 23:25:00,0.39899999999999997,127,0.3186555685088698,-0.2401241942376673
2019-05-10 23:31:00,0.439,130,0.33629351052923134,-0.28218376065239076
2019-05-10 23:37:00,0.395,128,0.3112642476746552,-0.24318628275363505
2019-05-10 23:43:00,0.42700000000000005,126,0.3454502565981026,-0.250984302728886
2019-05-10 23:49:00,0.457,126,0.369720766429351,-0.26861786029766016
2019-05-10 23:55:00,0.42,127,0.3354269142198629,-0.2527623097238603
2019-05-11 00:01:00,0.45899999999999996,124,0.3805282458027641,-0.2566695426930727
2019-05-11 00:13:00,0.573,128,0.4515301618166517,-0.3527740253616022
2019-05-11 00:19:00,0.5539999999999999,127,0.4424440725662001,-0.33340552282623476
2019-05-11 00:25:00,0.5329999999999999,127,0.42567272685520696,-0.3207674073400417
2019-05-11 00:31:00,0.496,125,0.4062994139673399,-0.2844939124301189
2019-05-11 00:37:00,0.47600000000000003,125,0.3899163730815601,-0.273022383703098
2019-05-11 00:43:00,0.565,126,0.45709460182184525,-0.33209866754524725
2019-05-11 00:49:00,0.579,128,0.456258226338292,-0.3564679942135561
2019-05-11 00:55:00,0.628,129,0.48804766379497777,-0.3952132055792978
2019-05-11 01:01:00,0.635,128,0.5003868285402685,-0.39094503683179305
2019-05-11 01:07:00,0.635,129,0.4934876855251766,-0.39961844831664667
2019-05-11 01:13:00,0.68,131,0.5132025145514851,-0.4461201397135449
2019-05-11 01:19:00,0.6990000000000001,128,0.5508195167710987,-0.43034737125263517
2019-05-11 01:25:00,0.797,132,0.5922864259054832,-0.53329709326801
2019-05-11 01:31:00,0.784,132,0.5826255431742771,-0.5245983953853449
2019-05-11 01:37:00,0.7,130,0.5362311101832846,-0.44995132678057753
2019-05-11 01:43:00,0.74,130,0.5668728879080437,-0.47566283116803915
2019-05-11 01:49:00,0.747,129,0.5805280332083573,-0.47010233211422847
2019-05-11 01:55:00,0.813,134,0.5848232576753233,-0.5647572551831648
