MMSI,name,imo,callsign,vessel_type,length_m,width_m,n_fixes,t_first,t_last,sog_max,sog_mean,type_label
367163760,GIBB GILCHRIST,IMO8643171,WDJ3397,60.0,80.0,20.0,2451,2019-05-08 23:20:48,2019-05-12 23:18:59,13.1,1.8356997144022849,passenger
367165610,MISS LISA,IMO0000000,WDK2134,30.0,26.0,8.0,929,2019-05-08 23:23:51,2019-05-12 21:26:18,6.7,1.5904198062432724,fishing
367165980,CHRISTIANA,IMO9383273,WDD5937,31.0,37.0,11.0,109,2019-05-08 23:20:30,2019-05-09 02:18:19,11.7,10.429357798165137,tug/towing
367170010,ST JUDE THADDEUS,,WDD6229,31.0,21.0,8.0,2930,2019-05-09 14:22:50,2019-05-12 23:19:51,8.6,2.052081911262799,tug/towing
367170990,SUE ELLEN,,WDD6295,31.0,18.0,7.0,3660,2019-05-08 23:21:17,2019-05-12 23:19:36,0.2,0.00016393442622950822,tug/towing
367171030,WARREN MCKINNEY,,WDD6298,31.0,15.0,6.0,3643,2019-05-08 23:20:17,2019-05-12 23:18:54,8.1,1.1639582761460336,tug/towing
367172440,OSG COLUMBIA,IMO8024727,WDD6400,31.0,39.0,11.0,1726,2019-05-08 23:22:03,2019-05-12 23:18:25,0.9,0.10254924681344148,tug/towing
367183070,T & L,IMO8942072,WDD7191,30.0,24.0,7.0,313,2019-05-08 23:21:18,2019-05-09 19:00:22,8.2,2.970926517571885,fishing
367183530,MORNING STAR II,,WCX6189,30.0,21.0,6.0,148,2019-05-12 18:25:21,2019-05-12 23:19:32,4.3,2.6344594594594595,fishing
367183730,(no name broadcast),,,,,,130,2019-05-12 14:37:51,2019-05-12 18:28:58,9.0,6.654615384615385,unknown
367186070,CAPT STOKES,IMO8964288,WDJ6330,60.0,40.0,7.0,3527,2019-05-08 23:20:01,2019-05-12 23:18:30,16.2,0.2963425007088177,passenger
367186360,CAPT TIMMY CALLAIS,,WDD7434,31.0,26.0,9.0,1008,2019-05-11 16:26:53,2019-05-12 21:44:42,8.7,2.207638888888889,tug/towing
367186410,BRIAN O DANIELS,,WDD7438,31.0,26.0,9.0,3637,2019-05-09 01:03:37,2019-05-12 23:17:58,9.3,0.7724773164696178,tug/towing
367189020,MARS,IMO7338327,WDD7627,31.0,27.0,8.0,2214,2019-05-08 23:21:17,2019-05-12 23:18:58,11.8,0.5602981029810298,tug/towing
367189510,SACRED HEART,,WDD7662,31.0,21.0,8.0,1849,2019-05-08 23:20:17,2019-05-11 00:43:55,6.7,1.5085992428339643,tug/towing
367190320,MISS ASHLEY,IMO0000000,WDD7722,30.0,0.0,0.0,1040,2019-05-10 15:26:17,2019-05-12 23:18:46,7.6,2.42625,fishing
367300350,THOR,IMO9350551,WDD8608,31.0,30.0,12.0,2944,2019-05-08 23:22:44,2019-05-12 23:19:17,12.3,2.668444293478261,tug/towing
367301010,NATHAN GOLDING,,WDD8656,31.0,22.0,10.0,3136,2019-05-08 23:21:20,2019-05-12 23:18:43,9.4,0.8549107142857143,tug/towing
367306270,CITY OF PORT ALLEN,,WDD9053,31.0,23.0,8.0,2241,2019-05-10 03:20:22,2019-05-12 14:37:17,8.4,0.8176260597947345,tug/towing
367306540,TREY DELOACH,IMO7048154,WDD9080,31.0,21.0,8.0,3687,2019-05-08 23:20:43,2019-05-12 23:18:52,7.8,1.3876322213181447,tug/towing
367310170,HARLAN RICHARDSON,,WDD9350,31.0,15.0,6.0,3688,2019-05-08 23:20:35,2019-05-12 23:18:56,9.7,1.1196312364425163,tug/towing
367316480,IAN EARLE,,WDD9798,31.0,21.0,8.0,3637,2019-05-08 23:21:24,2019-05-12 23:19:05,10.0,0.9544679681055815,tug/towing
367316740,GALVESTON BAY,,WDD9819,0.0,11.0,4.0,3762,2019-05-08 23:20:42,2019-05-12 23:18:30,30.8,3.4687931951089848,code 0
367317850,JOHN C.LAQUAY,,WDD9903,33.0,45.0,12.0,3677,2019-05-08 23:20:14,2019-05-12 23:18:43,0.2,0.0023116671199347296,code 33
367318540,COREY QUEBODEAUX,,WDD9957,31.0,26.0,9.0,1811,2019-05-08 23:20:04,2019-05-12 23:19:57,7.2,0.08382109331860851,tug/towing
367325130,WESLEY A,IMO9097628,WDE2433,31.0,30.0,12.0,2774,2019-05-08 23:20:04,2019-05-12 23:18:42,13.0,2.6396539293439076,tug/towing
367327560,CINDY HULL,,WDE2631,31.0,26.0,9.0,628,2019-05-09 02:58:54,2019-05-09 23:00:32,7.5,3.9111464968152863,tug/towing
367327630,DIVINE MERCY,,WDE2637,31.0,22.0,8.0,2585,2019-05-09 19:35:41,2019-05-12 15:26:23,8.6,2.2127659574468086,tug/towing
367327650,BROWN WATER XII,IMO8992560,WDE2639,31.0,20.0,7.0,2550,2019-05-08 23:21:20,2019-05-11 19:21:49,8.2,2.0688235294117647,tug/towing
367332950,GOOD SHEPHERD,,WDE3016,31.0,22.0,8.0,2840,2019-05-09 21:10:12,2019-05-12 23:19:43,8.5,1.3430633802816903,tug/towing
367337220,PRESTON N SHUFORD,,WDE3307,31.0,21.0,9.0,2782,2019-05-08 23:21:47,2019-05-12 23:19:26,10.4,1.3803738317757008,tug/towing
367337690,SAM HOUSTON,,WDE3340,60.0,,,3608,2019-05-08 23:21:40,2019-05-12 23:18:48,9.6,0.11119733924611973,passenger
367337960,GALVESTON,IMO9503160,WDE3363,31.0,46.0,14.0,294,2019-05-08 23:21:29,2019-05-09 23:13:07,14.1,7.611904761904762,tug/towing
367339680,MR RIDGE,IMO8658035,WDE3481,60.0,41.0,8.0,1109,2019-05-09 16:40:58,2019-05-12 23:19:35,25.6,3.8660955816050495,passenger
367340430,STEPHANIE KENNELLY,,WDE3527,31.0,26.0,9.0,1813,2019-05-08 23:21:04,2019-05-12 23:14:00,6.8,0.15212355212355214,tug/towing
367342470,LADY CATHY,IMO9241724,WDE3665,30.0,25.0,7.0,1211,2019-05-09 15:08:25,2019-05-12 18:46:47,9.0,0.896862097440132,fishing
367343420,DAVID M FLEMING,,WDE3731,31.0,15.0,6.0,3649,2019-05-08 23:20:07,2019-05-12 23:18:28,8.7,1.4388873664017539,tug/towing
367350170,CAPT JACK GREEN,,WDE4207,31.0,22.0,9.0,3671,2019-05-08 23:20:46,2019-05-12 23:18:18,5.8,0.17967856169980934,tug/towing
367351820,JOHN T MCMAHAN,,WDE4349,31.0,21.0,9.0,1602,2019-05-08 23:22:56,2019-05-11 02:41:33,8.4,1.7285268414481898,tug/towing
367361020,GREENLAND SEA,IMO9032783,WDE5027,31.0,35.0,10.0,682,2019-05-08 23:21:08,2019-05-10 05:30:02,9.5,2.6721407624633433,tug/towing
367361210,SAN AUSTIN,,WDE5041,31.0,18.0,7.0,3668,2019-05-08 23:21:30,2019-05-12 23:19:44,8.6,0.3577971646673937,tug/towing
367361690,AGOODE KETCH,,WDE5074,37.0,13.0,4.0,137,2019-05-12 15:52:56,2019-05-12 20:37:41,7.2,5.45036496350365,sailing/pleasure
367362460,B L DARNELL,,WDE5130,31.0,19.0,7.0,3659,2019-05-08 23:21:06,2019-05-12 23:18:39,8.7,0.4103033615742006,tug/towing
367364760,LEXIE M,IMO9420681,WDE5306,31.0,30.0,12.0,2779,2019-05-08 23:22:02,2019-05-12 23:19:20,12.7,2.96729039222742,tug/towing
367365680,KIM LONG,IMO8990603,WDE5373,30.0,25.0,7.0,493,2019-05-11 09:28:27,2019-05-12 21:37:47,9.2,1.0945233265720082,fishing
367366610,CROSBY ENTERPRISE,IMO7390868,WDE5428,31.0,45.0,12.0,610,2019-05-09 12:27:01,2019-05-10 02:56:31,11.3,3.060983606557377,tug/towing
367367620,RESURRECTION,,WDE5499,31.0,22.0,9.0,2562,2019-05-08 23:22:26,2019-05-12 23:17:44,10.4,2.4399297423887587,tug/towing
367371630,(no name broadcast),,,,,,566,2019-05-12 07:12:45,2019-05-12 23:19:49,7.7,3.4265017667844524,unknown
367371810,MAGOTHY,IMO9544205,WDE5803,31.0,30.0,10.0,1612,2019-05-08 23:20:02,2019-05-11 18:31:55,8.0,2.444602977667494,tug/towing
367371820,ANACOSTIA,IMO9544217,WDE5804,31.0,30.0,10.0,1974,2019-05-08 23:21:49,2019-05-12 23:17:12,11.1,1.407244174265451,tug/towing
367375620,STUD II,,WDE6081,31.0,13.0,7.0,1326,2019-05-08 23:20:17,2019-05-10 23:20:29,8.5,0.2204374057315234,tug/towing
367375720,BUBBA GATES,,WDE6090,31.0,20.0,8.0,2924,2019-05-08 23:20:29,2019-05-12 16:14:22,7.6,0.4774281805745554,tug/towing
367378170,HUD JOSEPH,,WDE6277,31.0,18.0,7.0,3552,2019-05-08 23:21:24,2019-05-12 23:19:15,8.4,0.6211711711711712,tug/towing
367378180,TOMMY ANDREW,IMO8992948,WDE6278,31.0,17.0,7.0,2553,2019-05-08 23:20:51,2019-05-12 23:19:45,10.1,1.0705836271053661,tug/towing
367381000,OVERSEAS NEW YORK,IMO9353541,WGEH,80.0,183.0,32.0,279,2019-05-08 23:20:33,2019-05-09 08:26:48,13.7,7.915770609318996,tanker
367384020,BLESSED TRINITY,,WDE6725,31.0,22.0,9.0,3522,2019-05-08 23:21:02,2019-05-12 23:19:55,7.9,0.4840999432140829,tug/towing
